iteration,global_sparsity,layer_name,zero_frac,zeros,total
6,0.23660396687629834,layers.16.conv3,0.6875,211200,307200
6,0.23660396687629834,layers.16.shortcut.0,0.0,0,51200
6,0.23660396687629834,conv2,0.14453125,59200,409600
7,0.27281523007313396,conv1,0.0,0,864
7,0.27281523007313396,layers.0.conv1,0.0,0,1024
7,0.27281523007313396,layers.0.conv2,0.0,0,288
7,0.27281523007313396,layers.0.conv3,0.6875,352,512
7,0.27281523007313396,layers.0.shortcut.0,0.0,0,512
7,0.27281523007313396,layers.1.conv1,0.0,0,1536
7,0.27281523007313396,layers.1.conv2,0.0,0,864
7,0.27281523007313396,layers.1.conv3,0.125,288,2304
7,0.27281523007313396,layers.1.shortcut.0,0.0,0,384
7,0.27281523007313396,layers.2.conv1,0.0,0,3456
7,0.27281523007313396,layers.2.conv2,0.0,0,1296
7,0.27281523007313396,layers.2.conv3,0.16666666666666666,576,3456
7,0.27281523007313396,layers.3.conv1,0.0,0,3456
7,0.27281523007313396,layers.3.conv2,0.0,0,1296
7,0.27281523007313396,layers.3.conv3,0.0,0,4608
7,0.27281523007313396,layers.4.conv1,0.0,0,6144
7,0.27281523007313396,layers.4.conv2,0.0,0,1728
7,0.27281523007313396,layers.4.conv3,0.3125,1920,6144
7,0.27281523007313396,layers.5.conv1,0.0,0,6144
7,0.27281523007313396,layers.5.conv2,0.0,0,1728
7,0.27281523007313396,layers.5.conv3,0.25,1536,6144
7,0.27281523007313396,layers.6.conv1,0.0,0,6144
7,0.27281523007313396,layers.6.conv2,0.0,0,1728
7,0.27281523007313396,layers.6.conv3,0.0,0,12288
7,0.27281523007313396,layers.7.conv1,0.0,0,24576
7,0.27281523007313396,layers.7.conv2,0.0,0,3456
7,0.27281523007313396,layers.7.conv3,0.3125,7680,24576
7,0.27281523007313396,layers.8.conv1,0.0,0,24576
7,0.27281523007313396,layers.8.conv2,0.0,0,3456
7,0.27281523007313396,layers.8.conv3,0.46875,11520,24576
7,0.27281523007313396,layers.9.conv1,0.0,0,24576
7,0.27281523007313396,layers.9.conv2,0.0,0,3456
7,0.27281523007313396,layers.9.conv3,0.515625,12672,24576
7,0.27281523007313396,layers.10.conv1,0.0,0,24576
7,0.27281523007313396,layers.10.conv2,0.0,0,3456
7,0.27281523007313396,layers.10.conv3,0.4270833333333333,15744,36864
7,0.27281523007313396,layers.10.shortcut.0,0.0,0,6144
7,0.27281523007313396,layers.11.conv1,0.0,0,55296
7,0.27281523007313396,layers.11.conv2,0.0,0,5184
7,0.27281523007313396,layers.11.conv3,0.5208333333333334,28800,55296
7,0.27281523007313396,layers.12.conv1,0.0,0,55296
7,0.27281523007313396,layers.12.conv2,0.0,0,5184
7,0.27281523007313396,layers.12.conv3,0.5416666666666666,29952,55296
7,0.27281523007313396,layers.13.conv1,0.0,0,55296
7,0.27281523007313396,layers.13.conv2,0.0,0,5184
7,0.27281523007313396,layers.13.conv3,0.425,39168,92160
7,0.27281523007313396,layers.14.conv1,0.0,0,153600
7,0.27281523007313396,layers.14.conv2,0.0,0,8640
7,0.27281523007313396,layers.14.conv3,0.525,80640,153600
7,0.27281523007313396,layers.15.conv1,0.0,0,153600
7,0.27281523007313396,layers.15.conv2,0.0,0,8640
7,0.27281523007313396,layers.15.conv3,0.39375,60480,153600
7,0.27281523007313396,layers.16.conv1,0.0,0,153600
7,0.27281523007313396,layers.16.conv2,0.0,0,8640
7,0.27281523007313396,layers.16.conv3,0.796875,244800,307200
7,0.27281523007313396,layers.16.shortcut.0,0.0,0,51200
7,0.27281523007313396,conv2,0.1890625,77440,409600
8,0.30548362311829486,conv1,0.0,0,864
8,0.30548362311829486,layers.0.conv1,0.0,0,1024
8,0.30548362311829486,layers.0.conv2,0.0,0,288
8,0.30548362311829486,layers.0.conv3,0.8125,416,512
8,0.30548362311829486,layers.0.shortcut.0,0.0,0,512
8,0.30548362311829486,layers.1.conv1,0.0,0,1536
8,0.30548362311829486,layers.1.conv2,0.0,0,864
8,0.30548362311829486,layers.1.conv3,0.125,288,2304
8,0.30548362311829486,layers.1.shortcut.0,0.0,0,384
8,0.30548362311829486,layers.2.conv1,0.0,0,3456
8,0.30548362311829486,layers.2.conv2,0.0,0,1296
8,0.30548362311829486,layers.2.conv3,0.16666666666666666,576,3456
8,0.30548362311829486,layers.3.conv1,0.0,0,3456
8,0.30548362311829486,layers.3.conv2,0.0,0,1296
8,0.30548362311829486,layers.3.conv3,0.0,0,4608
8,0.30548362311829486,layers.4.conv1,0.0,0,6144
8,0.30548362311829486,layers.4.conv2,0.0,0,1728
8,0.30548362311829486,layers.4.conv3,0.3125,1920,6144
8,0.30548362311829486,layers.5.conv1,0.0,0,6144
8,0.30548362311829486,layers.5.conv2,0.0,0,1728
8,0.30548362311829486,layers.5.conv3,0.25,1536,6144
8,0.30548362311829486,layers.6.conv1,0.0,0,6144
8,0.30548362311829486,layers.6.conv2,0.0,0,1728
8,0.30548362311829486,layers.6.conv3,0.0,0,12288
8,0.30548362311829486,layers.7.conv1,0.0,0,24576
8,0.30548362311829486,layers.7.conv2,0.0,0,3456
8,0.30548362311829486,layers.7.conv3,0.359375,8832,24576
8,0.30548362311829486,layers.8.conv1,0.0,0,24576
8,0.30548362311829486,layers.8.conv2,0.0,0,3456
8,0.30548362311829486,layers.8.conv3,0.546875,13440,24576
8,0.30548362311829486,layers.9.conv1,0.0,0,24576
8,0.30548362311829486,layers.9.conv2,0.0,0,3456
8,0.30548362311829486,layers.9.conv3,0.53125,13056,24576
8,0.30548362311829486,layers.10.conv1,0.0,0,24576
8,0.30548362311829486,layers.10.conv2,0.0,0,3456
8,0.30548362311829486,layers.10.conv3,0.4583333333333333,16896,36864
8,0.30548362311829486,layers.10.shortcut.0,0.0,0,6144
8,0.30548362311829486,layers.11.conv1,0.0,0,55296
8,0.30548362311829486,layers.11.conv2,0.0,0,5184
8,0.30548362311829486,layers.11.conv3,0.5520833333333334,30528,55296
8,0.30548362311829486,layers.12.conv1,0.0,0,55296
8,0.30548362311829486,layers.12.conv2,0.0,0,5184
